Issue Type,Epic Name,Summary,Description,Acceptance Criteria,Priority,Component,Labels,Sprint,Story Points,Status
Epic,E1 Foundation & Architecture,E1 Foundation & Architecture,Epic 1 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e1",Sprint 1 - Foundation,,To Do
Epic,E2 Auth & RBAC (Email/Password + PIN),E2 Auth & RBAC (Email/Password + PIN),Epic 2 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e2",Sprint 1 - Foundation,,To Do
Epic,E3 Multi‑Tenant DB (Master + Per‑Outlet),E3 Multi‑Tenant DB (Master + Per‑Outlet),Epic 3 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e3",Sprint 1 - Foundation,,To Do
Epic,E4 Onboarding & Provisioning,E4 Onboarding & Provisioning,Epic 4 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e4",Sprint 1 - Foundation,,To Do
Epic,"E5 Menu Management (Excel, Photos, FSSAI)","E5 Menu Management (Excel, Photos, FSSAI)",Epic 5 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e5",Sprint 1 - Foundation,,To Do
Epic,E6 QR Guest PWA (Menu→Order→Status→Bill),E6 QR Guest PWA (Menu→Order→Status→Bill),Epic 6 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e6",Sprint 1 - Foundation,,To Do
Epic,E7 KDS (Kitchen Display System),E7 KDS (Kitchen Display System),Epic 7 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e7",Sprint 1 - Foundation,,To Do
Epic,E8 Billing & Invoicing (GST/80mm/PDF),E8 Billing & Invoicing (GST/80mm/PDF),Epic 8 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e8",Sprint 1 - Foundation,,To Do
Epic,E9 Payments (UPI + Cash),E9 Payments (UPI + Cash),Epic 9 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e9",Sprint 1 - Foundation,,To Do
Epic,E10 Subscription & Licensing (Per Table/Month),E10 Subscription & Licensing (Per Table/Month),Epic 10 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e10",Sprint 1 - Foundation,,To Do
Epic,E11 Offline/Hybrid Sync & Local Node,E11 Offline/Hybrid Sync & Local Node,Epic 11 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e11",Sprint 1 - Foundation,,To Do
Epic,"E12 Alerts, Heartbeat & Rules","E12 Alerts, Heartbeat & Rules",Epic 12 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e12",Sprint 1 - Foundation,,To Do
Epic,E13 Reporting & Z‑Report,E13 Reporting & Z‑Report,Epic 13 for MVP QR-based dine-in SaaS. See spec; scope limited to MVP features under this theme.,,High,General,"mvp,e13",Sprint 1 - Foundation,,To Do
